,PC 비율,무도 비율,연극 비율,요가 비율,한식 비율,분식 비율,커피점 비율
강남구,0.9779425491886883,0.6155422427637142,0.6557431888869211,1.0,0.840835623025649,0.7342317508933129,0.9636134659935838
강동구,0.6572446908825013,0.5455160356370908,0.0721679295690924,0.4078834900387928,0.45557621774292684,0.453162053170272,0.2921496907857235
강북구,0.22710541775381335,0.5125993497073714,0.03888207307436772,0.08674589960678734,0.36372179704189495,0.31363284801681485,0.14155260739724637
강서구,0.5227975977886691,0.40148023198127586,0.023059350843848116,0.4115632681358852,0.31102136782194,0.302182818966785,0.24439207581090439
관악구,0.2966330479331387,0.2596825292441156,0.06798952927846191,0.15868545943164272,0.16176489818444886,0.17601397068633615,0.11181410537963919
광진구,1.0,1.0,0.17853078915450388,0.4357894283623003,0.4920111495840122,0.5121716396132631,0.3556065080926529
구로구,0.503236758087835,0.48944541212156967,0.12977993957938538,0.21057383789361667,0.3605224037019719,0.37598340347086734,0.27412991618712457
금천구,0.5274360062787461,0.40231472098052523,0.07998673989173291,0.13562230821363766,0.3710101203087707,0.32041312316448406,0.24487506754806426
노원구,0.31168814307058973,0.43468966889134053,0.06594481822949827,0.15202697628310077,0.31279497881171914,0.38707987242841624,0.2525898409091726
도봉구,0.31109542699156834,0.4350420248787282,0.08649346263328025,0.10034278959810874,0.33990342275670676,0.42118321513002366,0.20935586316898802
동대문구,0.554215957063913,0.3743772576780495,0.03055642434866793,0.19996937681825142,0.417363852420472,0.4262139075643899,0.22033759003226216
동작구,0.29957354763020816,0.24849892277695354,0.08184722953804995,0.155210984032885,0.1964969854213298,0.2635725138185919,0.17645227271644354
마포구,0.25073348295507797,0.28475461550789916,0.2076123565686492,0.18527325542119838,0.5021180313038779,0.38425048976558807,0.5081916920826975
서대문구,0.39227094027448645,0.32103989640957276,0.12987605720124795,0.16805700999272288,0.45075284583086067,0.5386346828538128,0.4392314368239795
서초구,0.7321918093497194,0.6687897439912545,0.5142829890376898,0.6884191660956196,0.6991519779617861,0.6883052495329127,0.7319238322900857
성동구,0.34117494059036774,0.3414151698027867,0.013575782817765324,0.18778293135435994,0.3673768492377188,0.3376147186147186,0.2656273650126613
성북구,0.33544455538684176,0.29039048982134047,0.19745155916141383,0.17156876668749643,0.3781155633056619,0.41474559260732075,0.24146184644437957
송파구,0.41257620051324023,0.4909876097711997,0.03298516679450278,0.27228263931932156,0.4616856541583268,0.42120433500497734,0.3136571432838713
양천구,0.49507859637032153,0.4746454980330228,0.060915706372873614,0.37373306416366625,0.3446697800343309,0.44676129229189643,0.29155137779065116
영등포구,0.47204656714961835,0.4673225495852166,0.06824610090258823,0.30886428438191166,0.44835454125203766,0.41740502393831996,0.40865436323598014
용산구,0.5554936439717435,0.2932548375842561,0.2177090687115849,0.18780744208187877,0.497298649152098,0.3717523537501322,0.38558112169401193
은평구,0.31735548571212896,0.4046377257574413,0.050604758978516365,0.1535429259049226,0.38664731065496727,0.4250210929611751,0.24156151213600227
종로구,0.6305136068972992,0.4606014380091873,1.0,0.45530609398968064,0.8999942522115041,0.8372700227769255,1.0
중구,0.9232255986874358,0.46510128551011953,0.2984540405333133,0.5659732843887019,1.0,1.0,0.9732718108957851
중랑구,0.27054644900501046,0.47126253559308084,0.04117287872259005,0.10104235535736893,0.29941979649514666,0.31116253335021354,0.13412189258578658
